Feature ID	Taxon	Confidence
ASV_166	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.9999997390439043
ASV_167	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metacordyceps;s__Metacordyceps_chlamydosporia	0.9999962931678035
ASV_168	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.9999977826299181
ASV_169	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_intermedius	0.9283192687943778
ASV_170	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.9869502968862157
ASV_171	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Aaosphaeria;s__Aaosphaeria_arxii	0.99879643233192
ASV_172	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Arcuadendron;s__Arcuadendron_triangulare	0.9800613169449773
ASV_173	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.9909396888076393
ASV_174	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	0.9764039218160331
ASV_175	Unassigned	0.7592628191902371
ASV_176	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_sulphureoviridis	0.9551265646823406
ASV_177	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.8680778718934323
ASV_178	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.9878121578795875
ASV_179	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae	0.9999938132472241
