"","distance","plant_pathway_induced","sample_name","Experiment","NMDS1","NMDS2","NMDS1_centroid","NMDS2_centroid"
"130","uni","JA","128_ch_ITS","cond_real_insects",0.167091651651629,0.187214340272663,0.0120985429762893,-0.0506355694939387
"131","uni","JA","120_ch_ITS","cond_real_insects",-0.0306876560961727,0.0960699765438092,0.0120985429762893,-0.0506355694939387
"132","uni","JA","124_ch_ITS","cond_real_insects",0.160771629156052,-0.0812154550589151,0.0120985429762893,-0.0506355694939387
"133","uni","JA","113_ch_ITS","cond_real_insects",0.176801045972606,0.304530936733434,0.0120985429762893,-0.0506355694939387
"134","uni","SA","125_ch_ITS","cond_real_insects",-0.151612816070816,-0.0188865778989642,-0.0204270954677983,-0.00889767982763533
"135","uni","SA","114_ch_ITS","cond_real_insects",0.0501024331275387,0.136909867147889,-0.0204270954677983,-0.00889767982763533
"136","uni","SA","115_ch_ITS","cond_real_insects",0.173687368427749,-0.236754574532273,-0.0204270954677983,-0.00889767982763533
"137","uni","SA","87_ch_ITS","cond_real_insects",0.0840266455276627,-0.206659149192576,-0.0204270954677983,-0.00889767982763533
"138","uni","SA","109_ch_ITS","cond_real_insects",-0.32172672329108,-0.00767063757160633,-0.0204270954677983,-0.00889767982763533
"139","uni","SA","89_ch_ITS","cond_real_insects",-0.169994942467639,-0.102855555620796,-0.0204270954677983,-0.00889767982763533
"140","uni","SA","94_ch_ITS","cond_real_insects",0.363585423137771,0.0228325759168387,-0.0204270954677983,-0.00889767982763533
"141","uni","SA","129_ch_ITS","cond_real_insects",-0.22930861581349,0.0596110830559951,-0.0204270954677983,-0.00889767982763533
"142","uni","SA","104_ch_ITS","cond_real_insects",0.0312699353718801,-0.0807314044748871,-0.0204270954677983,-0.00889767982763533
"143","uni","SA","93_ch_ITS","cond_real_insects",-0.051368899781674,-0.0463056537327634,-0.0204270954677983,-0.00889767982763533
"144","uni","SA","118_ch_ITS","cond_real_insects",0.0258610846900203,0.235207765753793,-0.0204270954677983,-0.00889767982763533
"145","uni","SA","122_ch_ITS","cond_real_insects",-0.0299899956723716,0.131633945710638,-0.0204270954677983,-0.00889767982763533
"146","uni","SA","101_ch_ITS","cond_real_insects",0.124387420544918,-0.0405489184631567,-0.0204270954677983,-0.00889767982763533
"147","uni","SA","98_ch_ITS","cond_real_insects",-0.102952936997028,-0.0879047103249329,-0.0204270954677983,-0.00889767982763533
"148","uni","SA","130_ch_ITS","cond_real_insects",-0.102371812750416,0.108656746812272,-0.0204270954677983,-0.00889767982763533
